dia_setmana,hora,Grup_Vehicle,count
2,07,Habitatge,15
2,07,Motocicleta,1580
2,07,Taxis,16
2,07,Transport Comercial,823
2,07,Transport públic,29
2,07,Vehicle Turisme,4827
2,07,Vehicles especials,12
2,07,Vianants,446
2,08,Bicicletes,485
2,08,Equips emergencia,7
2,08,Habitatge,12
2,08,Motocicleta,4051
2,08,Taxis,50
2,08,Transport Comercial,3089
2,08,Transport públic,82
2,08,Vehicle Turisme,9783
2,08,Vehicles especials,17
2,08,Vianants,822
2,09,Bicicletes,410
2,09,Equips emergencia,11
2,09,Habitatge,14
2,09,Motocicleta,3070
2,09,Taxis,142
2,09,Transport Comercial,8561
2,09,Transport públic,134
2,09,Vehicle Turisme,20467
2,09,Vehicles especials,24
2,09,Vianants,1228
2,10,Bicicletes,257
2,10,Equips emergencia,14
2,10,Habitatge,23
2,10,Motocicleta,2818
2,10,Taxis,155
2,10,Transport Comercial,9885
2,10,Transport públic,169
2,10,Vehicle Turisme,23836
2,10,Vehicles especials,30
2,10,Vianants,1233
2,11,Bicicletes,361
2,11,Equips emergencia,14
2,11,Habitatge,19
2,11,Motocicleta,2522
2,11,Taxis,90
2,11,Transport Comercial,5512
2,11,Transport públic,195
2,11,Vehicle Turisme,16506
2,11,Vehicles especials,22
2,11,Vianants,1186
2,12,Bicicletes,516
2,12,Equips emergencia,11
2,12,Habitatge,20
2,12,Motocicleta,3107
2,12,Taxis,168
2,12,Transport Comercial,10382
2,12,Transport públic,172
2,12,Vehicle Turisme,25278
2,12,Vehicles especials,34
2,12,Vianants,1311
2,13,Bicicletes,372
2,13,Equips emergencia,16
2,13,Habitatge,16
2,13,Motocicleta,2566
2,13,Taxis,125
2,13,Transport Comercial,6339
2,13,Transport públic,159
2,13,Vehicle Turisme,19032
2,13,Vehicles especials,17
2,13,Vianants,884
2,14,Bicicletes,174
2,14,Equips emergencia,12
2,14,Habitatge,16
2,14,Motocicleta,1921
2,14,Taxis,101
2,14,Transport Comercial,5385
2,14,Transport públic,154
2,14,Vehicle Turisme,15486
2,14,Vehicles especials,16
2,14,Vianants,709
2,15,Bicicletes,466
2,15,Equips emergencia,8
2,15,Habitatge,14
2,15,Motocicleta,2978
2,15,Taxis,152
2,15,Transport Comercial,4897
2,15,Transport públic,92
2,15,Vehicle Turisme,18651
2,15,Vehicles especials,16
2,15,Vianants,656
2,16,Bicicletes,769
2,16,Equips emergencia,10
2,16,Habitatge,16
2,16,Motocicleta,3945
2,16,Taxis,123
2,16,Transport Comercial,7802
2,16,Transport públic,125
2,16,Vehicle Turisme,23060
2,16,Vehicles especials,17
2,16,Vianants,879
2,17,Bicicletes,779
2,17,Equips emergencia,10
2,17,Habitatge,17
2,17,Motocicleta,3295
2,17,Patinet,1
2,17,Taxis,143
2,17,Transport Comercial,5788
2,17,Transport públic,117
2,17,Vehicle Turisme,21001
2,17,Vehicles especials,16
2,17,Vianants,686
2,18,Bicicletes,563
2,18,Equips emergencia,8
2,18,Habitatge,39
2,18,Motocicleta,2898
2,18,Taxis,80
2,18,Transport Comercial,1962
2,18,Transport públic,84
2,18,Vehicle Turisme,13219
2,18,Vehicles especials,10
2,18,Vianants,423
2,19,Bicicletes,474
2,19,Equips emergencia,13
2,19,Habitatge,33
2,19,Motocicleta,2890
2,19,Taxis,76
2,19,Transport Comercial,2558
2,19,Transport públic,61
